"data";"ALTSALES";"AWHAETP";"CES0500000003";"CES0500000011";"CIVPART";"CPIAUCSL";"CPILFESL";"CUSR0000SEHA";"CUSR0000SEHC";"EXHOSLUSM495S";"GS10";"HOUST";"HSN1F";"INDPRO";"IPMANSICS";"IPMINE";"IPUTIL";"PAYEMS";"PCEPI";"PCEPILFE";"PERMIT";"RSAFS";"RSXFS";"SPCS20RNSA";"SPCS20RSA";"TTLCONS";"TWEXMMTH";"TWEXMPA";"U6RATE";"UNRATE"
2018-01-01;17,109;34,4;26,71;918,82;62,7;248,816;255,106;314,493;310,613;NA;2,58;1314;622;106,2655;103,3243;114,7168;108,3479;147672;107,29;108,991;1365;492600;433198;205,065918535578;207,365122432144;1348653;86,3234;99,1843;8;4,1
2018-02-01;17,086;34,5;26,75;922,88;63;249,475;255,57;315,205;311,217;NA;2,86;1288;637;106,6419;104,4377;117,3375;100,554;148078;107,528;109,202;1332;494815;435033;206,517825333395;208,807877654531;1373812;85,7143;98,588;8,1;4,1
2018-03-01;17,225;34,5;26,84;925,98;62,9;249,413;256,075;315,942;312,205;NA;2,84;1335;662;107,2519;104,4607;118,6537;104,4602;148254;107,637;109,442;1415;494747;434510;208,522029747164;209,730085256911;1358387;86,2362;99,183;8;4
2018-04-01;17,334;34,5;26,91;928,4;62,9;249,957;256,487;316,931;313,12;NA;2,87;1269;637;108,2223;104,9102;119,9414;108,7414;148391;107,865;109,639;1387;495967;436423;210,328645050403;210,361039941815;1362805;86,3533;99,4788;7,9;4
2018-05-01;17,239;34,5;26,98;930,81;62,9;250,64;257,057;317,852;313,985;NA;2,98;1334;657;107,3639;104,0846;120,7917;105,4404;148669;108,104;109,869;1330;502351;441536;211,845207907941;210,937117124518;1362246;88,6914;102,185;7,8;3,8
2018-06-01;17,16;34,6;27,04;935,58;63;251,176;257,422;318,631;314,741;NA;2,91;1190;613;108,1707;104,7974;123,2572;104,6419;148888;108,273;109,993;1317;501133;439651;213,05622084359;211,485943832057;1341076;89,7394;103,4669;7,8;4
2018-07-01;16,91;34,5;27,11;935,3;62,9;251,482;257,902;319,648;315,655;NA;2,89;1195;617;108,652;105,2254;124,3916;104,6064;149024;108,379;110,136;1331;503834;441541;213,666143804717;211,94375396179;1333714;90,0469;103,7007;7,5;3,8
2018-08-01;16,812;34,5;27,22;939,09;62,7;251,905;258,065;320,774;316,481;NA;2,89;1280;598;109,5246;105,6772;127,1482;105,9684;149268;108,464;110,161;1258;502875;440241;213,763916509263;210,923484817606;1332656;90,4367;104,0982;7,3;3,8
2018-09-01;17,283;34,5;27,31;942,2;62,8;252,261;258,606;321,577;317,088;NA;3;1246;596;109,6749;105,6946;128,4626;105,553;149348;108,661;110,401;1290;502407;441029;213,765710899647;212,988045718916;1316355;89,9976;103,5933;7,5;3,7
2018-10-01;17,626;34,5;27,36;943,92;62,9;252,777;258,993;322,468;318,028;NA;3,15;1207;552;109,9165;105,6096;128,6303;108,2644;149549;108,816;110,528;1267;508036;446238;213,648420154319;213,622936360706;1301777;90,7738;104,6172;7,5;3,8
2018-11-01;17,341;34,4;27,44;943,94;62,9;252,662;259,488;323,572;318,966;NA;3,12;1204;614;110,5067;105,7933;129,701;111,1731;149683;108,893;110,746;1319;508471;446894;213,228805459012;213,92451872391;1287767;91,6828;105,7491;7,6;3,7
2018-12-01;17,438;34,5;27,54;950,13;63;252,653;259,986;324,349;319,689;NA;2,83;1117;564;110,5516;106,4076;132,5287;103,5903;149865;108,958;110,954;1334;497541;435953;212,662986206277;214,170306092602;1289604;92,0486;106,1826;7,6;3,9
2019-01-01;16,769;34,5;27,58;951,51;63,2;252,55;260,566;325,317;320,567;NA;2,71;1272;637;110,1185;105,8163;132,0621;104,3991;150134;108,872;111,002;1316;505036;443420;212,090973496849;214,368854065128;1314616;91,1158;105,0069;8;4
2019-02-01;16,595;34,4;27,69;952,54;63,1;253,181;260,898;326,329;321,561;NA;2,68;1137;665;109,5631;105,2961;130,3222;105,0447;150135;109,003;111,045;1305;504686;442467;212,373985931844;214,567826420797;1324229;91,3777;105,3039;7,2;3,8
2019-03-01;17,302;34,5;27,76;957,72;63;254,095;261,317;327,6;322,587;NA;2,57;1203;700;109,6811;105,2392;130,0886;106,8378;150282;109,252;111,174;1327;512602;449925;213,794829614691;214,872388433079;1337504;91,8773;106,1233;7,4;3,8
2019-04-01;16,593;34,4;27,81;956,66;62,8;254,943;261,835;328,817;323,618;NA;2,53;1267;664;108,9888;104,3287;133,422;103,2728;150492;109,609;111,493;1330;515088;452012;215,497755412674;215,443907444712;1356014;92,2683;106,6314;7,3;3,6
2019-05-01;17,31;34,4;27,87;958,73;62,9;255,167;262,199;329,697;324,49;NA;2,4;1268;600;109,2264;104,4132;133,0852;105,2351;150577;109,72;111,632;1338;516913;453199;216,773680314233;215,864251828492;1352895;92,5803;106,9738;7,2;3,6
2019-06-01;17,207;34,4;27,96;961,82;63;255,402;262,925;330,93;325,472;NA;2,07;1235;726;109,2774;104,9979;133,6105;100,8662;150759;109,849;111,874;1273;518397;454039;217,617330835089;216,086689487026;1354080;91,634;105,8588;7,2;3,7
2019-07-01;16,97;34,3;28,05;962,12;63;256,087;263,587;331,883;326,301;NA;2,06;1212;661;109,0852;104,5733;130,6869;105,2726;150953;110,042;112,057;1366;521831;457118;217,951372918265;216,339112261975;1366042;91,7037;106,1285;6,9;3,7
2019-08-01;17,067;34,4;28,16;968,7;63,2;256,294;264,18;332,735;327,052;NA;1,63;1377;706;109,8543;105,2005;133,7112;104,6164;151160;110,115;112,216;1471;524477;459868;218,051671169705;215,191423277514;1378956;92,2746;106,8193;7,2;3,7
2019-09-01;17,08;34,4;28,16;968,7;63,2;256,593;264,682;333,865;327,873;5410000;1,7;1274;726;109,4725;104,5218;133,6421;106,1216;151368;110,167;112,302;1437;521335;456351;218,1925148389;217,475823215585;1393304;92,6991;107,3811;6,9;3,5
2019-10-01;16,755;34,4;28,24;971,46;63,3;257,229;264,987;334,549;328,57;5410000;1,71;1340;706;109,027;103,9383;133,4335;106,4885;151553;110,377;112,448;1503;524853;459978;218,410315228443;218,409253183679;1386826;92,3729;107,2673;6,9;3,6
2019-11-01;16,972;34,3;28,34;972,06;63,2;257,824;265,501;335,419;329,359;5320000;1,81;1371;696;110,0388;104,8912;132,6327;109,7191;151814;110,461;112,501;1510;525014;460760;218,624040496319;219,331082075744;1405510;92,4113;107,4492;6,8;3,5
2019-12-01;16,814;34,3;28,37;973,09;63,2;258,444;265,832;336,333;330,158;5530000;1,86;1587;731;109,6527;105,0924;133,8142;103,449;151998;110,75;112,753;1457;525467;460512;218,671778877961;220,202966116171;1410267;91,8702;106,8913;6,7;3,5
2020-01-01;16,865;34,3;28,43;975,15;63,4;258,82;266,476;337,535;331,293;5420000;1,76;1617;774;109,1845;104,9624;135,1876;98,623;152212;110,917;112,949;1536;529616;464062;218,658448829016;220,969182519556;1437719;NA;NA;6,9;3,6
2020-02-01;16,766;34,4;28,52;981,09;63,4;259,05;267,07;338,592;332,107;5760000;1,5;1567;716;109,2966;104,9345;133,0159;102,1767;152463;111,014;113,121;1438;527273;461914;219,741943638341;221,941328930848;1441145;NA;NA;7;3,5
2020-03-01;11,357;34,1;28,69;978,33;62,7;257,953;266,795;339,611;332,974;5270000;0,87;1269;612;104,5221;99,6457;130,7168;99,0522;151090;110,717;113,013;1356;483949;438221;222,017565663079;223,076963467887;1436727;NA;NA;8,7;4,4
2020-04-01;8,718;34,2;30,03;1027,03;60,2;255,902;265,601;340,278;333,555;4330000;0,66;934;570;91,2658;83,8798;121,8124;100,8531;130303;110,131;112,526;1066;412766;382734;223,753918291587;223,668584532901;1387936;NA;NA;22,8;14,7
2020-05-01;12,108;34,7;29,7;1030,59;60,8;255,768;265,441;341,186;334,41;3910000;0,67;1038;698;91,9327;86,8627;108,0722;100,2603;133028;110,314;112,755;1216;488218;448788;224,479359251538;223,550752317664;1369363;NA;NA;21,2;13,3
2020-06-01;13,014;34,6;29,32;1014,47;61,5;257,214;266,065;341,584;334,716;4700000;0,73;1265;840;97,6071;93,502;110,6341;101,6783;137809;110,859;113,145;1258;529962;479823;225,196411867586;223,643104279782;1383647;NA;NA;18;11,1
2020-07-01;14,578;34,6;29,35;1015,51;61,4;258,723;267,715;342,238;335,429;5860000;0,62;1487;965;101,6989;97,4069;114,7298;106,6364;139570;111,148;113,462;1483;535923;483699;226,923858302333;225,311019402979;1398952;NA;NA;16,5;10,2
2020-08-01;15,126;34,7;29,45;1021,92;61,7;259,681;268,747;342,543;335,84;5980000;0,65;1388;994;102,1509;98,5465;112,0026;105,5357;141063;111,499;113,838;1476;538979;484510;229,351671682673;226,358250112222;1410438;NA;NA;14,2;8,4
2020-09-01;16,294;34,8;29,46;1025,21;61,4;260,209;269,264;342,941;336,034;6540000;0,68;1415;959;101,5055;98,2604;113,912;99,6196;141735;111,679;114,041;1545;549256;493661;NA;NA;1414027;NA;NA;12,8;7,9
2020-10-01;16,209;34,8;29,5;1026,6;61,7;NA;NA;NA;NA;NA;0,79;NA;NA;NA;NA;NA;NA;142373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,1;6,9
